Airport name,IATA code,ICAO code
Arthur's Town Airport,ATC,MYCA
Bimini International Airport,BIM,MYBS
Bimini-North SPB,NSB,
Black Point Airstrip,,MYEB
Cape Eleuthera Airport,CEL,MYEC
Chub Cay Airport,CCZ,MYBC
Deadman's Cay Airport,LGI,MYLD
Freeport-Grand Bahama International Airport,FPO,MYGF
George Town-Exuma International Airport,GGT,MYEG
Governor's Harbour Airport,GHB,MYEM
Inagua Airport,IGA,MYIG
Little Whale Cay Airport,,MYBX
Marsh Harbour International Airport,MHH,MYAM
Mayaguana Airport,MYG,MYMM
Nassau International Airport,NAS,MYNN
Nassau-Lynden Pindling International Airport,NAS,MYNN
Nassau-Oakes Field,,
Norman's Cay Airport,NMC,MYEN
North Eleuthera International Airport,ELH,MYEH
Ocean Cay Airport,,MYBO
San Andros Airport,SAQ,MYAN
San Salvador Airport,ZSA,MYSM
Spanish Cay Airport,,MYAX
Staniel Cay Airport,TYM,MYES
Stella Maris-Estate Airstrip,SML,MYLS
Treasure Cay Airport,TCB,MYAT
Walkers Cay Airport,WKR,MYAW
Bahrain International Airport,BAH,OBBI
Bahrain Marine Air Base,,
Bahrain-Muhurraq RAF Station,,
Barisal Airport,BZL,VGBR
Chandina RAF Station,,
Chittagong Airport,,
Chittagong-Patenga Airport,CGP,VGEG
Chittagong-Shah Amanat International Airport,CGP,VGEG
Comilla Airport,CLA,VGCM
Cox's Bazar Airport,CXB,VGCB
Dhaka-Kurmitola Air Base,,
Dhaka-Shahjalal International Airport,DAC,VGHS
Dhaka-Tejgaon Airport,DAC,VGTJ
Dhaka-Zia International Airport,DAC,VGZR
Dohazari Airfield,,
Hathazari Airfield,,
Ishurdi Airport,IRD,VGIS
Jessore Airport,JSR,VGJR
Lalmonirhat Airport,LLJ,VGLM
Shamshernagar Airport,ZHM,VGSH
Sylhet Civil Airport,ZYL,VGSY
Bridgetown-Grantley Adams International Airport,BGI,TBPB
Brest Airport,BQT,UMBB
Gomel Airport,GME,UMGG
Minsk-1 International Airport,MHP,UMMM
Minsk-2 International Airport,MSQ,UMMS
Vitebsk Airport,VTB,UMII
Antwerpen-Deurne Airport,ANR,EBAW
Asch Advanced Landing Ground Y-29,,EBSL
Brasschaat Air Base,,EBBT
Brussel-Haren Airport,,
Brussel-Melsbroek Air Base,,EBMB
Brussel-Nationaal Airport,BRU,EBBR
Brussel-Zaventem Airport,BRU,EBBR
Brussel/Evere Advanced Landing Ground B-56,,
Bruxelles-Sud Charleroi Airport,CRL,EBCI
Charleroi-Gosselies Airport,CRL,EBCI
Kortrijk-Wevelgem International Airport,KJK,EBKT
Le Culot Advanced Landing Ground A-89,,EBBE
Leopoldsburg Airfield,,EBLE
Liège-Bierset Airport,LGG,EBLG
Melsbroek Advanced Landing Ground B-58,,EBMB
Nivelles Advanced Landing Ground B-75,,
Oostende Airport,OST,EBOS
Sint-Truiden Advanced Landing Ground A-92,,EBST
Belize City (unknown airport),,
Belize City Municipal Airport,TZA,
Belize City-Philip S.W. Goldson International Airport,BZE,MZBZ
Corozal Airport,CZH,
Kanantik Airstrip,,
Placencia Airport,PLJ,
Privacion Airstrip,,
Punta Gorda Airport,PND,
San Pedro Airport,SPR,MZSP
Cotonou Airport,COO,DBBB
Bermuda Air Terminal,BDA,TXKF
Bermuda International Airport,BDA,TXKF
Bermuda-Darrell's Island Seaplane Port,,
Bermuda-Kindley Field,BDA,TXKF
Bermuda-Kindley Field NAS,NWU,
Apolo Airport,APB,SLAP
Camiare Airstrip,,SLCM
Camiri Airport,CAM,SLCA
Caranavi Airport,,SLVI
Cerdas Airport,,SLCS
Chimore Airport,,SLCH
Cobija-E. Beltram Airport,CIJ,SLCO
Cochabamba-J Wilsterman Airport,CBB,SLCB
El Jovi Airport,,SLEJ
El Peru Airport,,SLEP
El Salvador Airport,,SLEV
Estancia El Trompillo,,
Estancia la Esperanza,,
Fortín Campero,,
Guayaramerín Airport,GYA,SLGY
Itaguasurenda Airport,,SLIT
La China,,
La Paz-El Alto Airport,LPB,SLLP
La Vertiente Airfield,,SLVT
Laja Airport,,SLLJ
Oruro Airport,ORU,SLOR
Palmira Airport,,SLPM
Potosí-Capitán Nicolas Rojas Airport,POI,SLPO
Puerto Suarez Airport,PSZ,SLPS
Reyes Airport,REY,SLRY
Riberalta-Capitán Av. Selin Zeitun Lopez Airport,RIB,SLRI
Riberalta-Gen Buech Airport,RIB,SLRI
Robore Airport,RBO,SLRB
Rurrenabaque Airport,RBQ,SLRQ
San Borja Airport,SRJ,SLSB
San Borja-Capitan G.Q. Guardia Airport,SRJ,SLSB
San Francisco (Moxos) Airport,,SLSF
San Ignacio De Moxos Airport,SNM,SLSM
San Joaquin Airport,SJB,SLJO
San Jose de Chiquitos Airport,SJS,SLJE
San Juan Airport,,SLJN
San Pedro Richard Airport,,SLZJ
San Ramón Airport,SRD,SLRA
Santa Ana-Yacuma Airport,SBL,SLSA
Santa Cruz-El Trompillo Airport,SRZ,SLET
Santa Cruz-Viru Viru International Airport,VVI,SLVR
Santa Rosa Airport,SRB,SLSR
Santiago Airport,,SLTG
Sasasama Airport,,
Sucre Airport,SRE,SLSU
Sucre-Juana Azurduy de Padilla International Airport,SRE,SLSU
Tarija Airport,TJA,SLTJ
Tipuani Airport,,SLTP
Tomonoco,,
Trinidad Airport,TDD,SLTR
Uncía Airport,,SLUN
Uyuni Airport,UYU,SLUY
Vallegrande Airport,VAH,SLVG
Yacuiba Airport,BYC,SLYA
Coralici Airport,,LQCO
Mostar Airport,OMO,LQMO
Sarajevo Airport,SJJ,LQSA
Tuzla International Airport,TZL,LQTZ
Francistown Airport,FRW,FBFT
Gaborone-Sir Seretse Khama International Airport,GBE,FBSK
Kwando Airstrip,,
Maun Airport,MUB,FBMN
Piajo Airstrip,,
Pom Pom Camp Airstrip,,
Thebephatshwa Air Base,,FBTP
Xakanaka Airstrip,,
"Altamira Airport, PA",ATM,SBHT
"Angra dos Reis Airport, RJ",,SDAG
"Aracaju Airport, SE",AJU,SBAR
"Araçatuba Airport, SP",ARU,SBAU
"Aragarças Airport, GO",ARS,SJVO
"Araxá Airport, MG",AAX,SBAX
"Aruanã Airport, GO",,SWNH
"Bagé-Comandante Gustavo Kraemer Airport, RS",BGX,SBBG
"Barra do Vento Airport, RR",,SJQK
"Barreiras Airport, BA",BRA,SNBR
"Bauru Airport, SP",BAU,SBBU
"Belém (unknown airport), PA",,
"Belém/Val-de-Cans International Airport, PA",BEL,SBBE
"Belém/Val-de-Cans-Julio Cezar Ribeiro International Airport , PA",BEL,SBBE
"Belo Horizonte (unknown airport), MG",,
"Belo Horizonte-Carlos Prates Airport, MG",,SBPR
"Belo Horizonte-Pampulha Airport, MG",PLU,SBBH
"Belo Horizonte-Tancredo Neves International Airport, MG",CNF,SBCF
"Boa Vista Airport, RR",BVB,SBBV
"Bom Jesus, AC",,
"Brasília International Airport, DF",BSB,SBBR
"Brasília-Presidente Juscelino Kubitschek International Airport, DF",BSB,SBBR
"Buriti Alegre Airfield, GO",,SWBA
"Cáceres Airport, MT",CCX,SWKC
"Campina Grande Airport, PB",CPV,SBKG
"Campo Grande Internacional Airport, MS",CGR,SBCG
"Campos dos Goitacazes-Bartolomeu Lisandro Airport, RJ",CAW,SBCP
"Canela Airport, RS",QCN,SSCN
"Carajás Airport, PA",CKS,SBCJ
"Carauari Airport, AM",CAF,SWCA
"Caravelas Airport, BA",CRQ,SBCV
"Carolina Airport, MA",CLN,SBCI
"Cascavel Airport, PR",CAC,SBCA
"Catanduva Airport, SP",QDE,SDCD
"Chapecó Airport, SC",XAP,SBCH
"Coari Airport, AM",CIZ,SWKO
"Concórdia Airport, SC",CCI,SSCK
"Corumbá Internacional Airport, MS",CMG,SBCR
"Cristalândia Airstrip, TO",,
"Cruzeiro do Sul-Campo Internacional Airport, AC",CZS,SBCZ
"Cuiabá-Marechal Rondon International Airport, MT",CGB,SBCY
"Curitiba (unknown airport), PR",,
"Curitiba Airport, PR",CWB,SBCT
"Curitiba-Afonso Pena International Airport, PR",CWB,SBCT
"Curitiba-Bacacheri Airport, PR",BFH,SBBI
"Eirunepé Airport, AM",ERN,SWEI
"Erechim-Comandante Kraemer Airport, RS",ERM,SSER
"Fazenda Matary, MA",,SNFW
"Feijó Airport, AC",FEJ,SNOU
"Fernando de Noronha Airport, FN",FEN,SBFN
"Florianópolis Air Force Base, SC",FLN,SBFL
"Florianópolis Airport, SC",FLN,SBFL
"Florianópolis-Hercilio Luz International Airport, SC",FLN,SBFL
"Fortaleza-Pinto Martins Airport, CE",FOR,SBFZ
"Forte Principe da Beira, RO",,
"Foz Do Iguaçu-Estância Hércules Airport, PR",,SSFE
"Foz do Iguaçu/Cataratas Airport, PR",IGU,SBFI
"Gavião Peixoto-Embraer Unidade Airport, SP",,SBGP
"Goiânia-Santa Genoveva Airport, GO",GYN,SBGO
"Governador Valadares Airport, MG",GVR,SBGV
"Gravatai Airport, RS",GCV,
"Guajara-Mirim Airport, RO",GJM,SBGM
"Guanambi Airport, BA",GNM,SNGI
"Guaratinguetá Airport, SP",GUJ,SBGW
"Guarujá Airport, SP",SSZ,SBST
"Humaitá Airport, AM",HUW,SWHT
"Iguape, SP",,
"Ilhéus-Eduardo Gomes Airport, BA",IOS,SBIL
"Imperatriz Airport, MA",IMP,SBIZ
"Itaituba Airport, PA",ITB,SBIH
"Itaituba-Fazenda Conforto Airport, PA",,SNXR
"Itaituba-Fazenda Vera Paz Airport, PA",,SIJZ
"Itaituba-Mundico Coelho Airport, PA",,SNMD
"Itajaí Airport, SC",ITJ,
"Itapebi, BA",,
"Jacareacanga Airport, PA",JCR,SBEK
"Jacarezinho Airport, PR",,SSJE
"Jequitaí-Fazenda Fortaleza de Santa Terezinha Airport, MG",,SNJI
"Joaçaba Airport, SC",JCB,SSJA
"João Pessoa-Castro Pinto Airport, PB",JPA,SBJP
"Joinville-Cubatao Airport, SC",JOI,SBJV
"Juara Airport, MT",JUA,SIZX
"Juiz de Fora-Francisco de Assis Airport, MG",JDF,SBJF
"Jundiaí Airport, SP",QDV,SDJD
"Lagoa Santa Air Base, MG",,SBLS
"Lima Duarte-Carolina de Assis Repetto Airport, MG",,SJXM
"Lins Airport, SP",LIP,SBLN
"Londrina Airport, PR",LDB,SBLO
"Luziânia Airport, GO",,SWUZ
"Macaé Airport, RJ",MEA,SBME
"Macapá Internacional Airport, AP",MCP,SBMQ
"Maceió Airport, AL",MCZ,SBMO
"Maceió-Zumbi dos Palmares Airport, AL",MCZ,SBMO
"Manaus Air Base, AM",PLL,SBMN
"Manaus-Aeroclube de Flores Airport, AM",,SWFN
"Manaus-Eduardo Gomes International Airport, AM",MAO,SBEG
"Manaus/Ponta Pelada Airport, AM",PLL,SBMN
"Marabá Airport, PA",MAB,SBMA
"Maraú-Barra Grande Airport, BA",,SIRI
"Marília-Dr Gastão Vidigal Airport, SP",MII,SBML
"Maués Airport, AM",MBZ,SWMW
"Monte Dourado Airport, PA",MEU,SBMD
"Morrinhos Airport, GO",,SWMX
"Mucuri Airport, BA",MVS,SNMU
"Natal Airport, RN",NAT,SBNT
"Natal-Augusto Severo International Airport, RN",NAT,SBNT
"Natal-Parnamirim Field, RN",NAT,SBNT
"Navegantes-Itajaí Airport, SC",NVT,SBNF
"Novo Progresso Airport, PA",NPR,SJNP
"Novo Progresso-Cachimbo Air Base, PA",,SBCC
"Paranaguá Municipal Airport, PR",PNG,SSPG
"Parintins, AM",,
"Parnaíba-Santos Dumont Airport, PI",PHB,SBPB
"Parnamirim, BA",,SNBZ
"Passo Fundo Airport, RS",PFB,SBPF
"Pedro Afonso, GO",,SWPA
"Pelotas-Federal Airport, RS",PET,SBPK
"Petrolina Internacional Airport, PE",PNZ,SBPL
"Pikany Indian Airstrip, PA",,
"Pirapora Airport, MG",PIV,SNPX
"Ponta Grossa-Sant'Ana Airport, PR",PGZ,SSZW
"Ponta Porã International Airport, MS",PMG,SBPP
"Porto Alegre Airport, RS",POA,SBPA
"Porto Alegre-Canoas Air Base, RS",,SBCO
"Porto Alegre-Gravatai Air Base, RS",,SBCO
"Porto Alegre-Salgado Filho International Airport, RS",POA,SBPA
"Porto Belo Farm, RJ",,
"Porto Nacional Airport, TO",PNB,SBPN
"Porto Seguro-Terravista Golf Club Airport, BA",,SBTV
"Porto Velho Airport, RO",PVH,SBPV
"Porto Velho-Aeroclube de Rondõnia Airfield, RO",,SWRO
"Pouso Alegre Airport, MG",PPY,SNZA
"Presidente Prudente Airport, SP",PPB,SBDN
"Principe Da Beira-Principe Da Beira Airport, RO",FDB,
